,340_VFD_010\Current,355_ZI_040,815_PT_110A,BE_Machine_Speed_FB,SQ_Per_Hour_Shift2,ST325M030\SpeedFB,ST330M010\SpeedFB,ST340M022\AI3,VFD165_OL_Trim,VFD165_SW_Current
5469,45.9961,61.0,95.66,505.371,613.185,84.8389,454.407,186.89,1.62182,43.9627
5470,45.9961,60.0,96.2292,504.88300000000004,613.185,84.8389,454.407,174.951,-2.92352,43.9028
5471,45.8984,60.0,95.1496,505.249,615.748,84.8999,454.407,190.942,-3.27257,43.861000000000004
5472,45.9961,63.0,95.3224,505.005,615.748,84.8389,454.407,178.56400000000002,-2.33517,36.952
5473,46.0938,69.0,95.2674,505.18800000000005,611.893,84.9609,454.407,180.298,-1.22224,37.2487
5474,45.9961,75.0,95.554,505.18800000000005,611.893,84.8999,454.407,193.726,-2.9674400000000003,37.3166
5475,45.9961,82.0,95.3538,505.85900000000004,608.086,85.022,455.26099999999997,175.415,-1.73755,37.3683
5476,53.7109,85.0,94.9926,840.0880000000001,608.086,69.9463,688.293,177.393,-2.28012,37.2768
5477,53.9063,86.0,94.2585,840.2710000000001,604.326,69.9463,689.3919999999999,172.949,-2.15627,37.0125
5478,53.9063,86.0,80.8361,840.393,604.326,69.9463,689.6360000000001,180.933,-2.491,37.1548
5479,53.7109,87.0,91.6792,840.1489999999999,606.88,70.0073,689.6360000000001,195.65400000000002,-2.4499299999999997,37.1635
5480,53.7109,88.0,93.6107,840.0880000000001,606.88,69.9463,689.5139999999999,204.419,-3.13433,37.063
5481,53.9063,89.0,95.2281,840.2710000000001,609.77,70.0073,689.453,190.38099999999997,-1.62248,36.8889
5482,53.7109,90.0,95.1614,840.21,609.77,69.8242,689.27,170.898,-2.51839,37.1465
5483,53.9063,90.0,96.1115,840.454,612.26,70.0073,689.453,180.24900000000002,-2.2852,37.1001
5484,53.9063,91.0,95.3852,840.1489999999999,612.26,69.8853,689.087,181.03,-1.8039900000000002,37.2172
5485,53.7109,92.0,94.7413,840.21,614.72,69.8853,689.148,195.142,-2.0146599999999997,37.0852
5486,53.9063,92.0,94.91799999999999,840.1489999999999,614.72,69.7632,689.148,190.16099999999997,-0.43651599999999996,44.1661
5487,53.9063,89.0,95.66,840.454,617.51,70.0073,689.6360000000001,187.354,-0.0402966,37.6461
5488,53.9063,90.0,95.3773,840.2710000000001,617.51,69.8242,689.453,178.19799999999998,-1.3377700000000001,37.2579
5489,53.7109,91.0,95.2124,840.2710000000001,619.91,69.9463,689.453,163.35399999999998,-2.41056,37.1521
5490,53.7109,92.0,95.4244,840.0269999999999,619.91,69.8853,689.331,187.646,-1.5973600000000001,36.9822
5491,53.7109,92.0,95.185,840.0880000000001,622.281,70.0684,689.5139999999999,199.78,-2.61511,37.0454
5492,53.7109,93.0,94.4901,840.21,622.281,69.9463,689.453,204.614,-1.51396,37.0398
5493,53.7109,94.0,94.4508,840.1489999999999,624.977,70.0073,689.3919999999999,181.738,-2.4595599999999997,37.2325
5494,53.5156,95.0,94.8277,840.332,624.977,69.9463,689.575,174.39,-2.29592,37.2629
5495,53.7109,96.0,95.8013,840.393,627.2909999999999,69.8853,689.27,176.36700000000002,-2.08003,37.0341
5496,53.7109,96.0,95.9073,840.332,627.2909999999999,69.8853,689.331,187.012,-1.9353200000000002,37.4564
5497,53.7109,97.0,95.2713,840.2710000000001,629.577,69.8242,689.27,196.484,-1.8710099999999998,37.897
5498,42.2852,88.0,96.5551,747.62,629.577,73.9746,586.487,185.15599999999998,0.0,0.0
5499,45.9961,80.0,96.5197,504.88300000000004,632.185,85.022,454.407,179.88299999999998,0.0,0.0
5500,45.9961,73.0,94.9965,505.18800000000005,632.185,85.022,454.407,199.31599999999997,0.0,0.0
5501,45.9961,66.0,95.6914,505.005,634.4169999999999,84.7778,454.407,196.63099999999997,0.0,0.0
5502,46.0938,59.0,94.7884,505.49300000000005,634.4169999999999,84.7778,454.407,190.16099999999997,0.0,0.0
5503,45.9961,52.0,97.5287,505.43199999999996,630.786,85.022,454.407,185.083,-11.3609,43.7345
5504,45.9961,45.0,95.9426,505.249,630.786,84.8389,454.407,192.236,0.0,0.0
5505,45.8984,38.0,94.8944,505.005,633.0,84.7778,454.468,185.01,-8.032739999999999,43.6146
5506,45.9961,32.0,95.291,505.55400000000003,633.0,84.8389,454.468,192.7,-1.9068,43.7065
5507,45.9961,31.0,94.1996,505.005,629.419,84.9609,454.407,181.396,-1.54311,44.3177
5508,46.1914,35.0,94.439,505.005,629.419,84.8999,454.407,176.123,-2.66467,44.0417
5509,45.8984,39.0,93.8737,505.18800000000005,625.877,84.8389,454.407,192.822,-2.58291,42.367
5510,45.9961,44.0,99.7939,505.18800000000005,625.877,84.8999,454.407,189.209,-2.5561599999999998,42.387
5511,45.8984,48.0,96.6846,505.12699999999995,622.375,84.8389,454.407,193.579,-1.9079,38.3843
5512,45.9961,53.0,95.3969,505.371,622.375,84.8389,454.468,193.84799999999998,-1.75288,37.8497
5513,45.9961,58.0,95.3498,505.12699999999995,618.9119999999999,85.022,454.468,186.377,-2.38499,37.6334
5514,45.9961,62.0,94.6432,504.944,618.9119999999999,85.022,454.468,170.435,-3.06545,37.6861
5515,45.9961,66.0,95.2124,505.18800000000005,621.4630000000001,84.8389,454.407,194.36,-2.62775,37.9442
5516,46.0938,71.0,95.2713,505.371,621.4630000000001,84.7778,454.468,183.252,-2.51707,37.5108
5517,46.0938,77.0,95.2949,505.066,618.044,84.9609,454.407,179.59,-2.51218,37.2716
5518,45.9961,82.0,95.7385,630.188,618.044,111.633,567.383,189.84400000000002,-3.09803,37.9529
5519,53.7109,84.0,93.48899999999999,840.454,625.825,69.8853,689.209,186.67,-3.2642700000000002,37.7628
5520,53.9063,84.0,94.8395,840.393,625.825,70.0684,689.209,188.50099999999998,-3.68336,44.0344
5521,53.7109,83.0,94.2035,840.2710000000001,622.419,69.8242,689.3919999999999,180.81099999999998,-3.2862,44.1351
5522,53.7109,82.0,94.9219,840.393,622.419,69.8853,689.758,183.00799999999998,-2.18053,37.1768
5523,53.7109,83.0,94.5568,840.21,624.896,69.8853,689.331,188.94,-2.7535,37.0058
5524,53.7109,84.0,94.91799999999999,840.21,624.896,69.9463,689.3919999999999,188.86700000000002,-2.36605,37.0786
5525,53.7109,84.0,93.7167,840.1489999999999,627.023,69.7021,689.3919999999999,181.274,-2.1614299999999997,37.1327
5526,53.5156,85.0,95.4401,840.1489999999999,627.023,69.8853,689.148,189.08700000000002,-2.9864900000000003,37.0478
5527,53.5156,86.0,94.4587,840.332,629.127,69.8242,689.5139999999999,185.864,-2.27326,37.1669
5528,53.5156,87.0,95.2753,840.0269999999999,629.127,69.9463,689.087,185.15599999999998,-2.7719400000000003,36.9631
5529,53.7109,88.0,94.4155,840.0880000000001,631.529,69.9463,689.087,184.351,-2.3261,37.1019
5530,53.9063,89.0,94.5647,840.21,631.529,70.0073,689.209,183.203,-2.73065,37.2971
5531,53.9063,88.0,95.2046,840.393,633.587,70.0073,689.3919999999999,185.986,-2.80692,44.1234
5532,53.7109,86.0,95.4323,840.393,633.587,70.0073,689.331,182.25099999999998,-3.61056,44.2672
5533,53.7109,85.0,94.4626,840.332,630.247,70.0073,689.819,194.55599999999998,-2.77478,44.1837
5534,53.7109,84.0,95.1418,840.332,630.247,69.8853,689.575,189.917,-3.1460000000000004,44.1069
5535,53.7109,82.0,94.6942,840.1489999999999,626.943,69.9463,689.3919999999999,186.963,-2.9889900000000003,44.2282
5536,53.9063,81.0,95.2595,840.0880000000001,626.943,69.7632,689.331,183.00799999999998,-2.73216,44.0645
5537,53.7109,80.0,94.9062,840.332,623.673,69.9463,689.27,187.93900000000002,-2.42563,44.3066
5538,53.9063,79.0,95.1732,840.332,623.673,69.7632,689.148,182.69,-2.98628,44.1162
5539,53.9063,77.0,95.7464,840.0880000000001,620.437,69.8853,689.087,179.71200000000002,-2.61539,44.1344
5540,53.7109,76.0,94.6982,840.2710000000001,620.437,69.8242,689.331,187.012,-3.2875300000000003,44.166000000000004
5541,53.7109,75.0,95.2085,840.393,622.499,69.8853,689.148,189.96599999999998,-3.37655,44.1387
5542,45.3125,74.0,94.9023,781.067,622.499,73.8525,561.096,173.56,-2.80742,44.1573
