G_RIGHT PROXIMAL,G_RIGHT MIDDLE,G_RIGHT DISTAL,G_LEFT PROXIMAL,G_LEFT MIDDLE,G_LEFT DISTAL,S_Scrap
3.3385,4.5288,2.7603,3.7111,3.6288,3.9148,0
3.7746,4.6981,2.7286,3.7727,3.7553,3.8775,0
3.4232,3.9355,2.668,3.227,2.914,3.328,0
2.5553,3.5733,2.1817,2.6541,2.6058,2.8022,0
2.9752,4.0635,2.5862,2.5654,3.0416,2.7962,0
2.7801,3.8346,3.2593,2.6879,3.5445,3.1938,0
3.1821,3.9034,2.818,3.1327,3.0443,3.4286,0
2.7452,4.2049,2.4837,3.1682,4.0161,3.4802,0
2.8133,3.7249,2.1929,2.6841,3.17,3.1164,0
2.8532,3.9005,2.4023,3.1119,3.3764,3.2779,0
2.7098,4.036,2.4104,2.9612,3.368,3.4476,0
3.1139,4.1243,2.4858,3.0966,3.4009,3.2482,0
3.0344,4.2131,2.9976,3.0539,3.3984,3.4608,0
2.6542,4.2797,2.7764,2.9231,3.5339,3.3079,0
3.7889,4.5417,2.9586,3.5986,3.6734,3.8063,0
2.1587,4.1439,2.4743,2.7325,2.9656,3.1832,0
2.1129,3.7553,2.5474,2.0575,2.9197,2.8864,0
3.5133,4.3612,2.565,3.6547,3.6286,3.4583,0
2.2757,3.7011,2.3633,2.585,3.1307,3.2049,0
2.4481,3.6789,2.3047,2.6904,3.1424,2.9267,0
3.0709,3.9108,2.4574,3.1049,3.5483,3.2708,0
3.9677,4.5596,3.0685,3.8145,3.7048,3.7755,1
2.8983,4.1442,3.4834,3.0392,3.304,3.2002,0
2.6291,3.9856,3.2656,2.4206,2.9877,3.1601,0
2.9487,3.8396,3.0177,2.973,3.2902,3.165,1
3.2796,4.4352,2.5495,3.2879,3.5104,2.9412,0
3.6989,4.5627,3.0882,3.6935,3.7387,3.9776,0
3.5088,4.2699,3.3827,3.7388,3.5184,3.9927,0
3.3203,4.3688,3.6546,3.6522,3.7357,3.4025,0
3.794,4.726,2.7458,3.8811,3.7482,4.0757,0
2.8289,3.6671,2.4581,2.8214,2.6933,2.711,0
3.2862,4.5408,3.5081,3.8005,4.0043,3.3504,0
3.1609,4.3754,3.4932,3.2772,3.6943,3.2565,0
2.8824,4.3327,2.7429,3.2638,3.8074,3.4231,0
2.6567,4.3434,2.3163,2.5375,2.9814,2.954,0
3.2595,4.4283,3.2442,3.5828,3.7128,3.8295,0
3.7568,4.5075,3.141,4.109,3.5855,3.9375,0
2.5753,4.1605,3.3866,3.5251,3.6502,3.282,0
3.6581,4.6296,2.9764,3.9608,3.832,3.7567,0
3.5632,4.4227,2.8447,3.7862,4.0222,3.9804,0
2.7158,4.3128,2.5362,2.941,3.5909,3.4413,0
3.2862,4.5909,3.5059,3.4753,3.9501,3.5863,0
2.4944,3.4665,2.428,2.808,2.7129,2.7548,0
2.9788,3.9717,2.4485,3.3386,3.3218,3.4527,0
3.7107,4.5488,2.8829,3.8297,3.8687,3.783,0
3.5892,4.3166,2.8696,3.9033,3.4785,3.8838,0
3.2583,4.0568,3.8214,3.234,3.2334,3.2816,0
3.2511,4.4767,3.9119,3.8901,4.3987,4.0562,0
3.6155,4.4307,2.9406,3.5554,3.6609,3.7521,1
2.3933,3.443,2.097,2.3164,2.365,2.4781,0
3.1277,4.3737,3.3733,3.1508,3.2951,3.191,0
3.0009,4.3075,1.773,4.1688,3.8805,3.8029,0
3.7647,4.5623,2.7955,3.812,3.9499,3.8292,0
2.8195,3.411,2.5293,2.8312,2.9208,3.1072,0
3.9474,3.7356,2.5495,3.6631,3.125,3.2703,0
2.8116,3.8916,2.5622,2.9302,3.5103,3.5719,0
3.7844,3.6465,2.0663,3.6877,3.6134,2.7717,0
3.2156,4.0024,3.6459,3.1511,3.2776,3.2905,0
2.0013,4.0087,2.9129,2.8816,3.2756,3.8376,0
3.9318,4.7494,3.6128,4.2298,4.5417,4.2193,0
3.334,4.4629,3.87,3.3459,3.7319,3.5476,0
2.4782,3.8188,2.2472,2.8929,3.4896,3.2546,0
2.7291,4.0871,2.439,3.1676,3.4421,3.4104,0
3.831,4.8718,2.8054,3.3879,3.6502,3.3781,0
3.4981,4.3986,2.8518,3.4318,3.6443,3.9257,0
3.0723,4.3863,2.5744,3.4855,3.887,3.3442,0
3.4077,4.289,2.8517,3.6233,3.67,3.755,0
2.3069,4.1073,2.724,2.5407,3.3068,3.677,0
2.9077,3.9337,2.4863,2.7406,3.1309,3.359,0
4.0867,4.3009,3.5223,3.8886,3.74,3.249,0
4.0776,3.5072,2.0356,4.1026,2.7878,2.96,0
4.2828,3.8695,2.259,4.0682,3.5402,3.5363,0
3.6163,4.6183,3.0187,3.9823,4.3285,4.1372,0
3.6807,4.5926,3.1478,3.8293,4.048,3.8283,0
2.8068,4.033,2.7596,2.9523,3.2904,3.0736,0
3.2983,4.8913,3.1912,3.5395,4.0539,3.2629,0
3.3233,3.8525,2.5984,3.0862,3.1399,3.396,0
3.0273,3.9809,2.9381,3.0102,3.3811,2.7874,0
3.3298,4.3116,3.5252,3.4895,3.7212,3.4124,0
3.5584,4.6666,3.1644,3.4211,3.7162,3.6773,0
3.8944,4.7462,2.8747,4.0411,4.0193,3.6701,0
2.8617,4.807,3.1335,3.5629,4.3696,3.8196,0
3.1216,3.9115,2.6482,2.7391,2.9783,3.2599,0
4.2797,3.9457,2.6039,4.1295,3.3481,3.2866,0
3.0285,4.0504,2.7617,2.9297,3.4348,3.2589,0
3.3772,4.408,3.5738,3.454,3.9321,3.4522,0
3.1882,4.4475,3.0443,3.1222,3.5427,3.434,0
2.5054,3.7005,1.8588,3.0769,3.3955,3.2768,0
3.3183,4.1739,3.1975,3.4387,3.5082,3.685,0
2.6247,3.4277,2.1704,2.6881,3.1897,3.3657,0
2.4455,3.9399,2.7005,3.0656,3.685,3.1567,0
3.4407,4.5638,3.7274,3.3641,3.7697,3.4519,0
3.6642,4.5129,3.0224,3.5695,3.7358,4.0732,0
3.4061,4.8621,3.1817,3.7215,4.3248,3.7584,0
3.6126,4.4514,3.0912,3.3854,3.3245,3.4974,0
3.4743,4.3356,2.8189,3.7351,3.7253,3.7779,0
3.0795,4.1154,3.0547,3.1209,3.6061,3.1563,0
2.8933,4.4677,3.9064,3.7629,4.3624,4.0307,0
3.0088,4.3333,2.9697,3.1334,3.6862,3.304,0
3.1018,4.1731,2.9055,3.0149,3.1968,3.7908,0
3.1529,4.1877,2.9204,3.3235,3.629,3.7726,0
3.4407,4.6362,2.5153,3.6805,4.3509,3.6202,0
3.6641,4.7372,2.6917,3.8978,4.1054,3.7356,1
3.1937,4.1808,2.5745,3.0984,3.2987,3.4239,0
4.0939,4.7517,2.9539,4.3248,3.8536,3.9541,0
3.4859,4.7176,3.0267,3.6983,3.7405,3.8658,0
3.4588,3.9554,2.549,3.4631,3.3122,3.3689,0
3.6155,4.4285,3.1345,3.5669,3.5293,3.8618,0
3.0272,4.1647,3.0722,3.1523,3.4711,3.4168,0
3.1979,4.4203,3.0312,3.4987,4.1967,3.7018,0
2.8189,4.0139,3.2942,3.0037,3.6745,3.2769,0
3.5582,4.5151,2.7232,3.2023,3.5477,3.511,0
3.0569,4.0534,2.5556,2.946,3.0056,3.213,0
3.1838,4.5351,3.1408,3.7295,4.0778,3.6985,0
2.5913,3.8322,2.1647,2.8712,3.3053,3.0273,0
2.595,3.7183,2.3821,2.6224,2.9282,2.9407,0
3.618,4.1273,1.5001,3.4256,3.0761,2.2386,0
3.1721,4.4731,3.5359,3.3551,3.9432,3.3948,0
3.2758,4.3969,3.817,3.336,3.4858,3.1847,0
3.3979,4.4232,2.943,3.5784,3.9744,3.8577,0
2.6786,3.4922,2.1514,2.5736,2.7653,3.142,0
3.8235,4.4986,2.8434,4.0527,3.5341,4.0082,0
3.307,4.3454,3.8869,3.2152,3.6175,3.5661,0
2.7442,4.3763,4.0099,3.7274,4.3005,3.9227,0
2.6374,3.8936,2.2973,2.3369,2.844,2.8866,0
3.0012,4.2007,3.1432,2.6284,3.3247,2.9686,0
3.1341,4.5916,3.9093,3.7022,4.5485,3.8315,1
3.0843,4.1033,2.5941,3.3548,3.5033,3.5134,0
3.1121,3.8489,2.506,2.9321,3.142,3.1094,0
3.8949,4.5093,3.1784,4.1584,3.8382,3.9683,0
2.5207,3.7039,1.9431,2.5809,2.9461,2.6534,0
3.9522,4.7199,2.5851,4.1227,3.6237,3.9877,0
4.0167,4.9819,3.1282,3.8477,3.8906,3.9173,0
2.4498,3.5132,2.2155,2.6884,3.0522,3.08,1
3.1757,4.0674,3.6161,2.9305,3.142,3.2271,0
2.7678,4.1766,2.5458,2.8133,3.0868,3.041,0
3.2236,4.0802,3.6148,3.2654,3.3538,3.4142,0
2.4142,3.2489,1.5905,2.337,2.3296,2.2224,0
3.1013,4.282,2.5237,3.3408,3.613,3.1647,0
2.8906,4.0594,2.3683,3.2177,3.5091,3.4783,0
2.8672,3.7357,2.3676,2.9802,3.6046,3.6364,0
3.8232,4.6155,2.8972,4.0427,3.664,3.9208,0
3.0876,4.1164,3.6795,3.2627,3.3599,3.4646,0
3.2628,4.4429,2.9432,3.2619,3.4237,3.4319,0
2.6993,4.0728,2.592,2.9117,3.1943,3.1433,0
2.3316,4.0795,3.1789,2.4992,4.1832,3.7271,0
3.0571,4.3592,3.414,3.3812,3.8306,3.9875,0
2.8938,4.2544,3.6816,3.0332,3.6658,3.4721,0
2.518,3.881,2.5674,2.7027,3.3017,3.3854,0
2.6014,3.9673,3.7057,3.1159,3.3453,3.4601,0
3.0088,4.2608,3.4219,3.2983,3.6124,3.5732,0
3.3918,4.4958,3.936,3.6688,3.887,3.6378,0
3.3056,4.5548,2.813,3.9736,4.1454,4.0602,0
2.9665,4.0762,2.5499,3.3076,3.5212,3.6078,0
3.7286,4.4853,3.6736,3.5386,3.6698,3.5067,0
3.7398,4.351,3.8423,3.1754,3.6791,3.5422,0
3.4094,4.488,3.423,3.5032,3.794,3.2228,0
2.9902,4.0535,2.9571,3.3509,3.5728,3.5899,1
2.9259,3.6786,2.4406,3.096,3.1898,3.1749,0
3.2897,4.5145,3.9292,3.2747,3.8546,3.6388,0
3.3524,4.3635,3.2539,3.3493,3.7021,3.0732,0
3.7495,4.5699,2.7034,3.7284,3.5367,3.5495,0
2.8543,3.232,2.3711,2.6186,2.3004,2.8004,0
3.171,4.3988,2.765,3.4865,3.8692,3.4393,0
3.3601,3.5845,3.2596,2.9456,2.5672,2.3116,0
3.5364,4.7416,2.9429,3.7838,4.3156,4.078,0
2.9618,3.8235,2.1983,3.3827,3.4966,3.2951,0
3.5158,4.6419,3.0131,3.7463,3.892,3.723,0
2.1905,3.4659,1.9675,2.75,2.8652,2.9568,0
2.4414,3.2654,1.8747,2.684,2.7354,2.8278,0
3.4759,4.2639,2.7864,3.4185,3.5073,3.3155,0
3.4833,4.5937,2.916,3.7584,4.0492,4.0156,0
3.2956,4.7004,3.948,3.4873,4.1221,3.7458,0
3.6671,4.6258,3.0681,3.9303,4.003,4.1589,0
