Timestamp,tusCoatingLine.MES.UtilizationState,predictions
2022-11-17 0:25:00,Running,Running
2022-11-17 22:23:00,Running,Running
2022-11-17 17:56:00,Downtime,Downtime
2022-11-17 15:19:00,Running,Running
2022-11-17 5:02:00,Downtime,Downtime
2022-11-17 21:33:00,Running,Running
2022-11-17 16:26:00,Running,Running
2022-11-17 23:17:00,Running,Running
2022-11-17 17:07:00,Running Slow,Running Slow
2022-11-17 8:13:00,Running,Running
2022-11-17 21:03:00,Running,Running
2022-11-17 18:37:00,Running Slow,Running Slow
2022-11-17 11:52:00,Running,Running
2022-11-17 0:54:00,Running,Running
2022-11-17 17:46:00,Downtime,Downtime
2022-11-17 11:02:00,Running,Running
2022-11-17 14:02:00,Running,Running
2022-11-17 5:56:00,Running Slow,Running Slow
2022-11-17 13:47:00,Running,Running
2022-11-17 6:58:00,Running,Running
2022-11-17 22:21:00,Running,Running
2022-11-17 19:35:00,Running,Running
2022-11-17 17:31:00,Downtime,Downtime
2022-11-17 2:26:00,Running Slow,Running Slow
2022-11-17 15:45:00,Downtime,Downtime
2022-11-17 13:38:00,Running,Running
2022-11-17 18:21:00,Downtime,Downtime
2022-11-17 12:09:00,Running,Running
2022-11-17 20:03:00,Running Slow,Running Slow
2022-11-17 1:32:00,Running,Running
2022-11-17 10:22:00,Running Slow,Running Slow
2022-11-17 5:46:00,Running Slow,Running Slow
2022-11-17 3:05:00,Running Slow,Running Slow
2022-11-17 8:21:00,Running,Running
2022-11-17 0:33:00,Running,Running
2022-11-17 22:00:00,Running,Running
2022-11-17 0:51:00,Running,Running
2022-11-17 1:07:00,Running Slow,Running Slow
2022-11-17 11:26:00,Running,Running
2022-11-17 4:20:00,Running Slow,Running Slow
2022-11-17 19:05:00,Running,Running
2022-11-17 21:14:00,Running,Running
2022-11-17 16:37:00,Running,Running
2022-11-17 12:00:00,Running,Running
2022-11-17 7:08:00,Running,Running
2022-11-17 22:03:00,Running,Running
2022-11-17 11:36:00,Running,Running
2022-11-17 22:57:00,Running,Running
2022-11-17 9:14:00,Running,Running
2022-11-17 15:55:00,Running Slow,Running Slow
2022-11-17 3:39:00,Running Slow,Running Slow
2022-11-17 1:22:00,Running,Running
2022-11-17 11:12:00,Running,Running
2022-11-17 5:54:00,Running Slow,Running Slow
2022-11-17 10:36:00,Running Slow,Running Slow
2022-11-17 3:03:00,Running Slow,Running Slow
2022-11-17 14:01:00,Running,Running
2022-11-17 2:56:00,Running Slow,Running Slow
2022-11-17 19:47:00,Running,Running
2022-11-17 10:38:00,Running Slow,Running Slow
2022-11-17 15:12:00,Running,Running
2022-11-17 8:39:00,Running Slow,Running Slow
2022-11-17 10:54:00,Running,Running
2022-11-17 16:15:00,Running Slow,Running
2022-11-17 3:20:00,Running Slow,Running Slow
2022-11-17 10:24:00,Running Slow,Running Slow
2022-11-17 10:53:00,Running,Running
2022-11-17 2:43:00,Running Slow,Running Slow
2022-11-17 7:19:00,Running,Running
2022-11-17 5:04:00,Downtime,Downtime
2022-11-17 4:58:00,Downtime,Downtime
2022-11-17 16:01:00,Running Slow,Running Slow
2022-11-17 5:27:00,Running Slow,Running Slow
2022-11-17 0:46:00,Running,Running
2022-11-17 22:51:00,Running,Running
2022-11-17 17:05:00,Running Slow,Running Slow
2022-11-17 4:00:00,Running Slow,Running Slow
2022-11-17 18:11:00,Downtime,Downtime
2022-11-17 15:24:00,Running,Running
2022-11-17 5:55:00,Running Slow,Running Slow
2022-11-17 6:30:00,Running,Running
2022-11-17 6:33:00,Running,Running
2022-11-17 7:30:00,Running Slow,Running Slow
2022-11-17 20:20:00,Running Slow,Running Slow
2022-11-17 1:24:00,Running,Running
2022-11-17 4:03:00,Running Slow,Running Slow
2022-11-17 21:16:00,Running,Running
2022-11-17 5:00:00,Downtime,Downtime
2022-11-17 15:06:00,Running,Running
2022-11-17 10:46:00,Running,Running
2022-11-17 23:56:00,Running,Running
2022-11-17 8:43:00,Running Slow,Running Slow
2022-11-17 4:01:00,Running Slow,Running Slow
2022-11-17 9:08:00,Running,Running
2022-11-17 6:11:00,Running Slow,Running Slow
2022-11-17 15:40:00,Running Slow,Running Slow
2022-11-17 4:12:00,Downtime,Downtime
2022-11-17 4:37:00,Downtime,Downtime
2022-11-17 16:08:00,Running Slow,Running Slow
2022-11-17 0:53:00,Running,Running
2022-11-17 18:24:00,Downtime,Downtime
2022-11-17 16:06:00,Running Slow,Running Slow
2022-11-17 0:34:00,Running,Running
2022-11-17 11:53:00,Running,Running
2022-11-17 13:25:00,Running,Running
2022-11-17 7:34:00,Running Slow,Running Slow
2022-11-17 21:37:00,Running,Running
2022-11-17 15:22:00,Running,Running
2022-11-17 8:11:00,Running,Running
2022-11-17 1:16:00,Running,Running
2022-11-17 21:24:00,Running,Running
2022-11-17 6:57:00,Running,Running
2022-11-17 19:36:00,Running,Running
2022-11-17 6:48:00,Running,Running
2022-11-17 17:13:00,Running Slow,Running Slow
2022-11-17 9:19:00,Running,Running
2022-11-17 21:46:00,Running,Running
2022-11-17 8:34:00,Running Slow,Running Slow
2022-11-17 13:30:00,Running,Running
2022-11-17 16:49:00,Running Slow,Running Slow
2022-11-17 11:09:00,Running,Running
2022-11-17 8:28:00,Running Slow,Running Slow
2022-11-17 8:23:00,Running Slow,Running Slow
2022-11-17 15:28:00,Running,Running
2022-11-17 3:52:00,Running Slow,Running Slow
2022-11-17 9:06:00,Running,Running
2022-11-17 4:24:00,Running Slow,Running Slow
2022-11-17 20:19:00,Running Slow,Running Slow
2022-11-17 14:39:00,Running,Running
2022-11-17 6:40:00,Running,Running
2022-11-17 21:36:00,Running,Running
2022-11-17 8:03:00,Running,Running
2022-11-17 7:23:00,Running,Running
2022-11-17 8:19:00,Running,Running
2022-11-17 23:53:00,Running Slow,Running Slow
2022-11-17 13:37:00,Running,Running
2022-11-17 15:09:00,Running,Running
2022-11-17 8:38:00,Running Slow,Running Slow
2022-11-17 4:51:00,Running Slow,Running Slow
2022-11-17 4:18:00,Running Slow,Running Slow
2022-11-17 18:05:00,Downtime,Downtime
2022-11-17 11:41:00,Running,Running
2022-11-17 6:25:00,Running,Running
2022-11-17 19:15:00,Running,Running
2022-11-17 6:29:00,Running,Running
2022-11-17 6:55:00,Running,Running
2022-11-17 7:05:00,Running,Running
2022-11-17 6:09:00,Running Slow,Running Slow
2022-11-17 9:44:00,Running,Running
