CO_BATCH_NUMBER,Batch_final_yield,Yield_O_OMNI_FIRST_DISTAL,Yield_O_OMNI_FILAR_WRAPPING,Yield_O_OMNI_PAM_APPLICATION,Yield_O_OMNI_PAM_INSPECTION,Yield_O_OMNI_MECHANICAL_CON,Yield_O_OMNI_ELECTRICAL_CON,Yield_O_OMNI_INS_GAP_FILLING,Yield_O_OMNI_DISPENSER_COIL,Yield_O_OMNI_SMARTCALELITE_TEST_FG,Yield_O_OMNI_DRIFTELITE_TEST_FG,Yield_O_OMNI_OFFSET_TEST,Yield_O_OMNI_MASKING,Yield_O_OMNI_HYDROPHILIC_COATING,Yield_O_OMNI_UNMASKING,Yield_O_OMNI_FINAL_INSP,Yield_O_OMNI_TRAYPREP_ FINAL_TEST,Yield_O_UNILABEL_PRINTING,Yield_O_POUCHING,Yield_O_SECOND_VERIFICATION_PACKAGING
1128221239,0.4870985704645848,1.0,0.9836065573770492,0.9833333333333333,0.9830508474576272,0.9491525423728814,0.8392857142857143,1.0,1.0,0.8297872340425532,0.9230769230769231,1.0,0.9722222222222222,1.0,1.0,0.9714285714285714,0.9705882352941176,0.9714285714285714,1.0,0.9428571428571428
1128221240,0.6776470588235293,1.0,1.0,1.0,0.9411764705882353,1.0,0.96875,1.0,1.0,0.8064516129032258,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96
1128221241,0.5891157785253655,0.9879518072289156,0.963855421686747,0.975,0.9743589743589743,0.987012987012987,0.9342105263157895,1.0,1.0,0.9154929577464789,0.9692307692307692,0.9841269841269841,0.967741935483871,1.0,0.9833333333333333,0.9491525423728814,0.9464285714285714,0.9818181818181818,1.0,0.9636363636363636
1128221242,0.6093700538144983,1.0,0.9753086419753086,0.9746835443037974,0.9230769230769231,0.9861111111111112,0.9014084507042254,1.0,1.0,0.859375,0.9818181818181818,0.9629629629629629,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1128221439,0.6693859206663304,1.0,0.9859154929577465,1.0,1.0,0.9714285714285714,0.9558823529411765,0.9848484848484849,0.9696969696969697,0.9375,0.9833333333333333,0.9491525423728814,1.0,1.0,0.9821428571428571,0.9090909090909091,0.98,1.0,1.0,1.0
1128221441,0.6853388203017831,1.0,0.9629629629629629,1.0,0.9487179487179487,0.9864864864864865,0.96,0.9861111111111112,1.0,0.9436619718309859,0.9701492537313433,1.0,1.0,1.0,0.9846153846153847,0.953125,0.9508196721311475,0.9833333333333333,1.0,1.0
1128221443,0.6746279107630466,1.0,0.9880952380952381,1.0,0.9759036144578314,1.0,0.9512195121951219,1.0,1.0,0.9230769230769231,0.9722222222222222,0.9857142857142858,1.0,0.9855072463768116,0.9411764705882353,0.96875,0.9838709677419355,1.0,0.9558823529411765,0.9838709677419355
1128221445,0.6434523809523809,1.0,0.9857142857142858,1.0,0.9710144927536232,0.9701492537313433,1.0,0.9692307692307692,1.0,0.8412698412698413,0.9622641509433962,1.0,1.0,1.0,1.0,0.9607843137254902,0.9591836734693877,1.0,1.0,0.9583333333333334
1128221448,0.5685160427807486,1.0,0.9705882352941176,1.0,1.0,0.8787878787878788,0.9310344827586207,1.0,0.9642857142857143,0.8518518518518519,1.0,0.9565217391304348,1.0,1.0,1.0,0.9545454545454546,1.0,0.9545454545454546,1.0,1.0
1128221450,0.5444571000472588,1.0,0.9487179487179487,1.0,1.0,0.972972972972973,0.8421052631578947,1.0,0.9696969696969697,0.9375,0.9333333333333333,1.0,1.0,1.0,1.0,0.9642857142857143,0.9259259259259259,0.9615384615384616,1.0,0.9615384615384616
